Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,15,16,6,6000,0.36,0.5,1,10000,22,96,1252.011856,12269.44437,13570.76828,736.877956,3907310733,3907310733,0.89753,,,
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1480.803148,10914.20917,12469.55925,801.952964,3355764850,3355764850,0.89704,1124.42,1271.36,2395.79
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1480.803148,10914.20917,12469.55925,801.952964,3355764850,3355764850,0.89704,1124.42,1271.36,2395.79
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1492.194635,10225.36692,11794.03919,847.88594,3355764850,3355764850,0.89704,1124.42,1271.36,2395.79
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1480.803148,10914.20917,12469.55925,801.952964,3355764850,3355764850,0.89704,,,
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1492.194635,10225.36692,11794.03919,847.88594,3355764850,3355764850,0.89704,,,
NeuRoute,8,16,6,5000,0.36,0.7,1,10000,22,96,1498.389543,10578.05828,12121.84919,824.956642,3355764850,3355764850,0.89704,,,
NeuRoute,107,17,5,8000,0.36,0.7,1,10000,22,96,1392.811923,14654.29746,16100.33064,621.105257,4746770273,4746770273,0.89661,,,
NeuRoute,18,16,6,7000,0.25,0.5,1,10000,22,96,950.021142,12796.06887,13791.0345,725.108766,4149024312,4149024312,0.89618,,,
NeuRoute,5,16,6,5000,0.3,0.7,1,10000,22,96,1316.17115,10085.09218,11442.01141,873.97221,3241510057,3241510057,0.89615,,,
NeuRoute,7,16,6,5000,0.36,0.6,1,10000,22,96,1387.811348,10414.6527,11848.34923,843.99943,3359533274,3359533274,0.89607,,,
NeuRoute,12,16,6,6000,0.3,0.5,1,10000,22,96,1093.588216,11680.66887,12819.01197,780.091323,3786589900,3786589900,0.89588,,,
NeuRoute,106,17,5,8000,0.36,0.6,1,10000,22,96,1288.607822,14774.48482,16115.71245,620.512437,4752115270,4752115270,0.89583,,,
NeuRoute,1,16,6,5000,0.36,0.7,1,10000,22,96,1367.471414,10405.42148,11817.64016,846.192629,3312297595,3312297595,0.89564,,,
NeuRoute,104,17,5,8000,0.3,0.7,1,10000,22,96,1244.576916,14355.85731,15650.37056,638.962507,4664557920,4664557920,0.89561,,,
NeuRoute,38,16,7,5000,0.25,0.7,1,10000,22,96,1185.497448,9843.472524,11067.62257,903.536413,3159019828,3159019828,0.89544,,,
