Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50
NeuRoute,98,14,6,2000,0.29,0.7,1,10000,20,128,212.96092,1131.928993,1365.68981,7322.306959,947041528,947041528,0.89607
NeuRoute,53,15,6,3000,0.41,0.5,1,10000,20,128,235.913715,1523.308992,1787.945144,5593.012757,1253259563,1253259563,0.89427
NeuRoute,53,15,6,3000,0.41,0.5,1,10000,20,128,235.913715,1523.308992,1787.945144,5593.012757,1253259563,1253259563,0.89427
NeuRoute,13,15,6,3000,0.41,0.5,1,10000,20,128,235.535074,1522.309738,1787.603053,5594.083084,1253259563,1253259563,0.89427
NeuRoute,158,15,5,3000,0.29,0.7,1,10000,20,128,194.333579,1401.603019,1618.748117,6177.613364,1180860792,1180860792,0.89378
NeuRoute,158,15,5,3000,0.29,0.7,1,10000,20,128,194.333579,1401.603019,1618.748117,6177.613364,1180860792,1180860792,0.89378
NeuRoute,5,16,5,5000,0.29,0.5,1,10000,20,128,192.022999,1950.617662,2172.112153,4603.813844,1688241507,1688241507,0.88627
NeuRoute,1,16,5,4500,0.29,0.5,1,10000,20,128,193.86316,1868.192532,2090.890325,4782.65162,1603033621,1603033621,0.88584
NeuRoute,107,14,6,3000,0.41,0.5,1,10000,20,128,200.398755,1386.684222,1612.507441,6201.52177,1162570320,1162570320,0.88574
NeuRoute,107,14,6,3000,0.41,0.5,1,10000,20,128,200.398755,1386.684222,1612.507441,6201.52177,1162570320,1162570320,0.88574
NeuRoute,152,15,5,2000,0.29,0.7,1,10000,20,128,193.205798,1108.211149,1321.868648,7565.048173,931767667,931767667,0.88559
NeuRoute,152,15,5,2000,0.29,0.7,1,10000,20,128,193.205798,1108.211149,1321.868648,7565.048173,931767667,931767667,0.88559
NeuRoute,47,15,6,2000,0.41,0.5,1,10000,20,128,232.695693,1295.701267,1555.305125,6429.606538,1056948574,1056948574,0.88552
NeuRoute,47,15,6,2000,0.41,0.5,1,10000,20,128,232.695693,1295.701267,1555.305125,6429.606538,1056948574,1056948574,0.88552
NeuRoute,48,15,6,3000,0.24,0.7,1,10000,20,128,170.791996,1253.507767,1445.404133,6918.480286,1065719228,1065719228,0.88117
NeuRoute,48,15,6,3000,0.24,0.7,1,10000,20,128,170.791996,1253.507767,1445.404133,6918.480286,1065719228,1065719228,0.88117
NeuRoute,7,16,5,5000,0.41,0.5,1,10000,20,128,187.180253,1637.013439,1853.782554,5394.375936,1378490179,1378490179,0.88017
NeuRoute,3,16,5,4500,0.41,0.5,1,10000,20,128,188.97076,1588.903849,1806.84625,5534.505219,1340496536,1340496536,0.87977
NeuRoute,5,16,5,4000,0.41,0.5,1,10000,20,128,191.602779,1543.277799,1763.356507,5671.002977,1293302869,1293302869,0.87946
NeuRoute,3,16,5,3500,0.41,0.5,1,10000,20,128,192.268531,1473.247256,1692.933176,5906.907692,1235892749,1235892749,0.8788
NeuRoute,101,14,6,2000,0.41,0.5,1,10000,20,128,198.399034,1180.349183,1402.615182,7129.539255,977388562,977388562,0.87847
NeuRoute,101,14,6,2000,0.41,0.5,1,10000,20,128,198.399034,1180.349183,1402.615182,7129.539255,977388562,977388562,0.87847
NeuRoute,1,16,5,3000,0.41,0.5,1,10000,20,128,193.796254,1393.864135,1614.623364,6193.394833,1167018710,1167018710,0.87771
NeuRoute,13,16,6,5000,0.29,0.5,1,10000,20,128,182.174039,1441.631192,1650.097333,6060.248568,1227479332,1227479332,0.87572
NeuRoute,9,16,6,4500,0.29,0.5,1,10000,20,128,184.734804,1397.322559,1607.818297,6219.608285,1186470769,1186470769,0.87539
NeuRoute,102,14,6,3000,0.24,0.7,1,10000,20,128,156.712808,1211.755908,1388.952288,7199.671354,1039416278,1039416278,0.8748
NeuRoute,102,14,6,3000,0.24,0.7,1,10000,20,128,156.712808,1211.755908,1388.952288,7199.671354,1039416278,1039416278,0.8748
NeuRoute,42,15,6,2000,0.24,0.7,1,10000,20,128,170.776437,1020.386784,1210.382535,8261.85087,865777039,865777039,0.87468
NeuRoute,42,15,6,2000,0.24,0.7,1,10000,20,128,170.776437,1020.386784,1210.382535,8261.85087,865777039,865777039,0.87468
NeuRoute,40,15,6,1000,0.41,0.7,1,10000,20,128,264.886562,999.029229,1287.704509,7765.756763,777308598,777308598,0.87342
NeuRoute,40,15,6,1000,0.41,0.7,1,10000,20,128,264.886562,999.029229,1287.704509,7765.756763,777308598,777308598,0.87342
NeuRoute,161,15,5,3000,0.41,0.5,1,10000,20,128,173.390753,1315.543834,1513.287416,6608.130018,1110825216,1110825216,0.87327
NeuRoute,161,15,5,3000,0.41,0.5,1,10000,20,128,173.390753,1315.543834,1513.287416,6608.130018,1110825216,1110825216,0.87327
NeuRoute,21,15,6,5000,0.29,0.5,1,10000,20,128,165.456311,1391.765229,1583.110995,6316.676488,1189243909,1189243909,0.87186
NeuRoute,17,15,6,4500,0.29,0.5,1,10000,20,128,166.294808,1348.25629,1539.496418,6495.630573,1151942806,1151942806,0.8715
NeuRoute,96,14,6,2000,0.24,0.7,1,10000,20,128,157.996262,996.906587,1173.951552,8518.23909,849135031,849135031,0.86924
NeuRoute,96,14,6,2000,0.24,0.7,1,10000,20,128,157.996262,996.906587,1173.951552,8518.23909,849135031,849135031,0.86924
