Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,dataset
NeuRoute,79,15,6,100,0.39,0.6,1,10000,20,96,67.582528,1450.075497,1545.336779,6471.081343,416197361,416197361,0.48724,deep1b100M
NeuRoute,80,15,6,100,0.39,0.7,1,10000,20,96,67.634666,1427.939457,1523.224643,6565.019839,416191232,416191232,0.48971,deep1b100M
NeuRoute,81,15,6,150,0.25,0.5,1,10000,20,96,47.479692,679.872454,744.217774,13436.92713,205270128,205270128,0.51136,deep1b100M
NeuRoute,82,15,6,150,0.25,0.6,1,10000,20,96,48.372451,687.857521,753.220966,13276.31658,205223830,205223830,0.51884,deep1b100M
NeuRoute,83,15,6,150,0.25,0.7,1,10000,20,96,48.793894,681.627835,747.586199,13376.38391,205198871,205198871,0.52176,deep1b100M
NeuRoute,84,15,6,150,0.3,0.5,1,10000,20,96,58.586089,976.406557,1055.893604,9470.651174,289714343,289714343,0.52724,deep1b100M
NeuRoute,85,15,6,150,0.3,0.6,1,10000,20,96,59.411982,977.007677,1056.977581,9460.938604,289667175,289667175,0.53458,deep1b100M
NeuRoute,86,15,6,150,0.3,0.7,1,10000,20,96,59.539032,978.855933,1058.9707,9443.131902,289645863,289645863,0.53738,deep1b100M
NeuRoute,87,15,6,150,0.39,0.5,1,10000,20,96,77.265698,1520.991865,1626.209841,6149.267916,445167538,445167538,0.55087,deep1b100M
NeuRoute,88,15,6,150,0.39,0.6,1,10000,20,96,78.128832,1502.647595,1608.418162,6217.288661,445101539,445101539,0.55835,deep1b100M
NeuRoute,89,15,6,150,0.39,0.7,1,10000,20,96,78.608414,1513.222644,1619.588339,6174.408496,445092101,445092101,0.56113,deep1b100M
NeuRoute,90,15,6,200,0.25,0.5,1,10000,20,96,54.176466,767.801988,839.299638,11914.69595,234174306,234174306,0.55801,deep1b100M
NeuRoute,91,15,6,200,0.25,0.6,1,10000,20,96,55.627896,781.180788,854.407531,11704.01669,234048456,234048456,0.56734,deep1b100M
NeuRoute,92,15,6,200,0.25,0.7,1,10000,20,96,56.343773,774.050168,847.846843,11794.58305,234005282,234005282,0.57094,deep1b100M
NeuRoute,93,15,6,200,0.3,0.5,1,10000,20,96,67.631741,1069.321637,1157.956216,8635.905107,318543056,318543056,0.57674,deep1b100M
NeuRoute,94,15,6,200,0.3,0.6,1,10000,20,96,68.604911,1063.05997,1152.727533,8675.076906,318375465,318375465,0.58585,deep1b100M
NeuRoute,95,15,6,200,0.3,0.7,1,10000,20,96,69.498672,1081.250751,1171.947018,8532.808946,318323091,318323091,0.59001,deep1b100M
NeuRoute,96,15,6,200,0.39,0.5,1,10000,20,96,88.999746,1657.807325,1775.255162,5632.993056,473726623,473726623,0.60177,deep1b100M
NeuRoute,97,15,6,200,0.39,0.6,1,10000,20,96,90.608502,1607.099923,1725.927835,5793.985007,473573183,473573183,0.61042,deep1b100M
NeuRoute,98,15,6,200,0.39,0.7,1,10000,20,96,91.166702,1598.491724,1718.250186,5819.874243,473525908,473525908,0.61409,deep1b100M
NeuRoute,99,15,6,250,0.25,0.5,1,10000,20,96,61.879173,855.206714,936.591509,10677.0133,262731110,262731110,0.59589,deep1b100M
NeuRoute,100,15,6,250,0.25,0.6,1,10000,20,96,63.62768,867.305968,949.265595,10534.45954,262525437,262525437,0.60746,deep1b100M
NeuRoute,101,15,6,250,0.25,0.7,1,10000,20,96,64.400063,864.893932,947.005364,10559.60228,262475773,262475773,0.6115,deep1b100M
NeuRoute,102,15,6,250,0.3,0.5,1,10000,20,96,76.556886,1154.430406,1252.193543,7985.985917,346963890,346963890,0.61671,deep1b100M
NeuRoute,103,15,6,250,0.3,0.6,1,10000,20,96,78.917395,1153.2742,1252.3887,7984.741478,346702873,346702873,0.62839,deep1b100M
NeuRoute,104,15,6,250,0.3,0.7,1,10000,20,96,79.768385,1161.777292,1262.668733,7919.733608,346641104,346641104,0.63268,deep1b100M
NeuRoute,105,15,6,250,0.39,0.5,1,10000,20,96,101.826198,1697.802782,1827.904727,5470.744647,502011031,502011031,0.64156,deep1b100M
NeuRoute,106,15,6,250,0.39,0.6,1,10000,20,96,104.218157,1642.053738,1775.212251,5633.129218,501774449,501774449,0.65175,deep1b100M
NeuRoute,107,15,6,250,0.39,0.7,1,10000,20,96,104.751169,1688.377646,1821.85014,5488.92567,501699797,501699797,0.65506,deep1b100M
NeuRoute,108,15,7,10,0.25,0.5,1,10000,20,96,36.569163,483.515137,537.55703,18602.67738,137924664,137924664,0.20399,deep1b100M
NeuRoute,109,15,7,10,0.25,0.6,1,10000,20,96,36.609059,488.483931,542.090175,18447.11537,137925793,137925793,0.20475,deep1b100M
