Method,dataset,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,img1536,13,4,100,0.09,0.6,1,10000,16,1536,15.812838,4013.2719,4249.365535,2353.29249,86627888,86627888,0.80607,,,
NeuRoute,img1536,13,4,100,0.09,0.6,1,10000,16,1536,15.812838,4013.2719,4249.365535,2353.29249,86627888,86627888,0.80607,,,
NeuRoute,img1536,13,4,100,0.09,0.6,1,10000,16,1536,15.942191,4033.570732,4272.369185,2340.621694,86642381,86642381,0.80607,,,
NeuRoute,img1536,12,4,100,0.09,0.6,1,10000,16,1536,15.221737,3807.9312,4043.678214,2472.995988,81245402,81245402,0.80586,,,
NeuRoute,img1536,12,4,100,0.09,0.6,1,10000,16,1536,15.221737,3807.9312,4043.678214,2472.995988,81245402,81245402,0.80586,,,
NeuRoute,img1536,12,4,100,0.09,0.6,1,10000,16,1536,15.046878,3854.33244,4090.372906,2444.764873,81258496,81258496,0.80584,,,
NeuRoute,img1536,13,5,100,0.09,0.5,1,10000,16,1536,18.792021,4930.874643,5172.134935,1933.43757,104316365,104316365,0.80416,,,
NeuRoute,img1536,13,5,100,0.09,0.5,1,10000,16,1536,18.792021,4930.874643,5172.134935,1933.43757,104316365,104316365,0.80416,,,
NeuRoute,img1536,12,5,100,0.09,0.5,1,10000,16,1536,17.061306,4449.048486,4687.82194,2133.186825,94999239,94999239,0.80385,,,
NeuRoute,img1536,12,5,100,0.09,0.5,1,10000,16,1536,17.061306,4449.048486,4687.82194,2133.186825,94999239,94999239,0.80385,,,
NeuRoute,img1536,13,4,100,0.09,0.5,1,10000,16,1536,15.611138,4077.533652,4313.826212,2318.127692,86660077,86660077,0.8025,,,
NeuRoute,img1536,13,4,100,0.09,0.5,1,10000,16,1536,15.611138,4077.533652,4313.826212,2318.127692,86660077,86660077,0.8025,,,
NeuRoute,img1536,12,4,100,0.09,0.5,1,10000,16,1536,15.163017,3793.589068,4029.244809,2481.854659,81277146,81277146,0.80228,,,
NeuRoute,img1536,12,4,100,0.09,0.5,1,10000,16,1536,15.163017,3793.589068,4029.244809,2481.854659,81277146,81277146,0.80228,,,
NeuRoute,img1536,13,5,100,0.09,0.5,1,10000,16,1536,18.499401,4993.848884,5236.32855,1909.735018,104350223,104350223,0.80222,,,
NeuRoute,img1536,12,5,100,0.09,0.5,1,10000,16,1536,16.972389,4409.655309,4649.832775,2150.614976,95033025,95033025,0.80192,,,
NeuRoute,img1536,13,4,100,0.09,0.5,1,10000,16,1536,15.625306,4123.340567,4363.748856,2291.60759,86688388,86688388,0.80048,,,
NeuRoute,img1536,12,4,100,0.09,0.5,1,10000,16,1536,14.68142,3844.935588,4082.427905,2449.522743,81304549,81304549,0.80027,,,
